id,conceito,explicacao
1,Reserva de Emergência,Dinheiro guardado para imprevistos geralmente de 3 a 6 meses de gastos
2,Orçamento,Planejamento mensal que organiza entradas e saídas de dinheiro
3,Juros Compostos,Juros calculados sobre o valor inicial mais os juros acumulados
4,Inflação,Aumento geral dos preços ao longo do tempo
5,Meta Financeira,Objetivo específico que envolve dinheiro prazo e valor
6,Gastos Fixos,Despesas que se repetem todo mês como aluguel e internet
7,Gastos Variáveis,Despesas que mudam mês a mês como lazer e alimentação fora
8,Dívida Boa,Dívida que gera retorno futuro como estudo
9,Dívida Ruim,Dívida que não gera retorno e pesa no orçamento
10,Planejamento Financeiro,Processo de organizar metas prazos e recursos
